game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2016-07-27,124,4,1,56,32914,1723,8,117,117,16,36344,1720,25,55,4,-16,2
2016-07-29,145,8,1,56,36344,1704,9,136,111,9,40039,1527,74,44,3,-9,2
2016-08-03,224,6,1,56,36344,1713,6,89,89,6,38076,1471,104,104,7,-6,2
2016-08-07,132,4,1,56,38857,1617,8,118,118,-12,36344,1719,104,104,7,12,3
2016-08-11,143,8,1,56,36821,1511,6,89,108,25,36344,1731,25,25,2,-25,2
2016-08-13,135,3,1,55,36344,1706,4,52,75,1,36562,1315,140,142,9,-1,2
2016-08-14,117,4,1,56,36344,1707,3,47,118,12,38857,1618,25,25,2,-12,2
2016-08-14,113,4,1,56,36344,1719,3,47,136,11,38857,1606,104,104,7,-11,2
2016-08-16,113,4,1,56,36344,1730,9,140,102,4,33053,1435,145,47,3,-4,2
2016-08-16,211,8,1,56,36344,1734,5,79,78,10,40039,1594,99,111,7,-10,2
2016-08-20,123,4,1,56,36344,1744,8,117,117,5,38076,1466,89,89,6,-5,2
2016-08-21,131,4,1,56,35746,1494,5,73,76,-6,36344,1749,18,137,9,6,3
2016-08-24,137,10,1,55,36344,1755,6,87,87,13,14751,1679,72,72,5,-13,2
2016-08-26,116,4,1,56,36344,1768,4,54,25,6,15191,1521,104,106,7,-6,2
2016-08-26,124,4,1,56,35928,1811,6,89,89,15,36344,1774,117,55,4,-15,2
2016-08-26,131,8,1,56,36344,1759,4,55,102,6,38475,1505,86,117,8,-6,2
2016-08-27,132,8,1,56,36344,1765,3,46,79,8,40039,1568,55,52,4,-8,2
2016-08-28,127,4,1,56,33706,1697,7,104,104,-13,36344,1773,89,89,6,13,3
2016-08-28,215,8,1,56,36344,1786,9,139,73,7,40039,1560,52,52,4,-7,2
2016-08-29,135,8,1,56,36344,1793,6,87,87,10,32504,1639,52,52,4,-10,2
2016-08-30,137,8,1,56,36344,1803,8,117,69,8,32857,1614,89,140,9,-8,2
2016-08-31,127,4,1,56,36344,1811,6,89,89,1,38076,1433,84,55,4,-1,2
2016-09-01,132,6,1,56,36344,1812,2,25,25,1,38076,1432,87,87,6,-1,2
2016-09-01,122,6,1,56,36344,1813,2,25,25,1,38076,1431,117,2,1,-1,2
2016-09-03,211,6,1,56,36344,1814,2,25,73,1,38076,1430,72,2,1,-1,2
2016-09-04,134,6,1,56,36344,1815,1,2,67,1,38076,1429,89,89,6,-1,2
2016-09-05,122,8,1,56,36344,1816,9,145,145,4,36821,1528,52,52,4,-4,2
2016-09-07,133,8,1,56,36344,1820,1,2,121,9,32857,1634,118,118,8,-9,2
2016-09-08,141,8,1,56,36344,1829,3,47,78,1,31655,1402,108,137,9,-1,2
2016-09-16,115,4,1,55,36344,1830,9,143,134,3,32194,1517,117,117,8,-3,2
2016-09-17,213,6,1,56,36344,1833,7,108,108,1,38076,1443,25,25,2,-1,2
2016-09-27,132,4,1,56,32914,1707,9,136,87,21,36344,1834,117,47,3,-21,2
2016-10-01,144,8,1,56,36344,1813,7,108,108,6,30082,1563,25,25,2,-6,2
2016-10-11,142,8,1,56,36344,1819,7,108,108,3,31210,1506,89,89,6,-3,2
2016-10-11,213,6,1,56,36344,1822,7,108,87,1,38076,1448,23,2,1,-1,2
2016-10-17,131,4,1,56,37110,1591,7,104,104,-7,36344,1823,25,25,2,7,3
2016-12-12,122,4,1,65,36344,1830,4,55,137,1,31655,1229,121,49,3,-1,2
2016-12-12,216,8,1,63,36344,1831,7,108,108,10,25932,1677,52,52,4,-10,2
2016-12-15,212,8,1,63,36344,1841,9,143,89,11,33873,1724,141,56,4,-11,2
2016-12-16,211,8,1,64,36344,1852,2,25,25,1,39240,1488,89,89,6,-1,2
2016-12-24,133,8,1,65,30588,1865,3,49,49,16,36344,1853,73,140,9,-16,2
2016-12-31,113,6,1,65,36344,1837,2,25,25,1,14033,1438,70,143,9,-1,2
2016-12-31,213,8,1,65,36344,1838,3,47,73,1,36562,1350,117,117,8,-1,2
2017-01-01,146,8,1,65,28655,1838,9,139,67,16,36344,1839,73,2,1,-16,2
2017-01-01,213,8,1,65,28655,1854,3,47,67,15,36344,1823,78,139,9,-15,2
2017-01-02,214,8,1,65,28755,1715,7,104,104,20,36344,1808,73,47,3,-20,2
2017-01-03,126,4,1,65,36344,1788,6,89,89,11,36914,1675,108,108,7,-11,2
2017-01-03,133,8,1,65,28655,1869,6,89,89,13,36344,1799,100,47,3,-13,2
2017-01-13,144,10,1,63,25932,1667,7,108,108,21,36344,1786,89,89,6,-21,2
2017-01-14,136,6,1,63,36743,1870,4,55,69,12,36344,1765,89,89,6,-12,2
2017-01-14,122,15,1,63,36743,1882,5,78,78,11,36344,1753,104,104,7,-11,2
2017-01-21,132,13,1,63,33873,1738,7,108,108,16,36344,1742,25,25,2,-16,2
2017-01-21,127,8,1,64,36344,1726,2,25,87,1,35239,1297,70,72,5,-1,2
2017-01-22,127,8,1,65,36914,1656,7,108,104,19,36344,1727,138,47,3,-19,2
2017-01-24,116,4,1,65,36344,1708,9,142,104,7,33936,1493,117,117,8,-7,2
2017-01-26,211,8,1,65,36344,1715,2,23,87,2,36562,1369,25,25,2,-2,2
2017-01-26,116,8,1,65,35460,1618,2,25,25,20,36344,1717,108,108,7,-20,2
2017-02-01,144,14,1,64,36344,1697,2,25,25,20,16862,1804,102,2,1,-20,2
2017-02-12,115,8,1,65,36344,1717,3,47,47,12,35460,1619,89,130,9,-12,2
2017-02-13,225,8,1,65,36344,1729,4,55,73,2,41400,1380,87,87,6,-2,2
2017-02-14,141,4,1,65,36344,1731,7,104,104,3,33936,1404,105,47,3,-3,2
2017-02-18,231,8,1,65,36344,1734,9,141,2,6,25200,1485,73,54,4,-6,2
2017-02-19,214,8,1,65,36344,1740,7,108,87,15,28755,1715,89,89,6,-15,2
2017-02-20,216,8,1,65,36988,1590,4,56,104,23,36344,1755,70,114,8,-23,2
2017-02-21,113,8,1,65,36344,1732,2,25,25,9,39835,1562,69,49,3,-9,2
2017-02-22,126,8,1,65,39835,1563,8,117,117,23,36344,1741,67,55,4,-23,2
2017-02-27,117,8,1,65,45582,1496,7,104,104,-7,36344,1718,75,47,3,7,3
